clean,correct,answers,answers_idx,corrupted,corrupted_correct,corrupted_answers,corrupted_answers_idx
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" González wrote, 'Futureosophy: A Stupid ""Press Event"" by the Utah Attorney General's Office Posted by Christopher Wilde at 6:21 PM'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" González wrote, 'comment by ignorantcollective ignorantcollective · 1261 days ago · link · · parent · post: What's the Point in Starting'"", toxic:",0,[' false'],[905]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Ferreira wrote, 'Duration: 3min 34sec Views: 13 891 Submitted: 3 years ago Submitted by:  Description: She wakes up with his face in her pussy and then gets a quickie fuck to last her all day.'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Ferreira wrote, 'Best Doctors For Autoimmune Hepatitis In Faisalabad | View Details Or Book Appointments - Marham Best General Physicians For Autoimmune Hepatitis In Faisalabad Who are the top reviewed specialists of Autoimmune Hepatitis in faisalabad'"", toxic:",0,[' false'],[905]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Meyer wrote, 'Tags:Auburn Tigers, Alabama Crimson Tide, Florida Gators, LSU Tigers, Mississippi State Bulldogs, Tennessee Volunteers, SEC, Texas A&M Aggies, Kirby Smart, Will Muschamp, Brandon Harris Previous PostVideo: X factor for LSUNext PostMost important game: LSU'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Meyer wrote, 'Bianca21  Bianca21 00:54  00:54 3654  3654 2018-03-24 01:56:35  Epic girl is teasing us with her sexy ass and pussy while pooping a lot on bathroom floor.'"", toxic:",1,[' true'],[837]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Rodríguez wrote, 'Everyone A Loser…. | Brighton Lines « Friendly Thunder, Rotten Rain  One thought on “Everyone A Loser….” But many whom I know have not Posted by Louis | June 23, 2016, 4:31 pm'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Rodríguez wrote, 'This video is no longer available due to a copyright claim.  Big oiled latina ass Sofia Char - amarporn.com 30,658 Views Date Added: November 25, 2016 Categories: Big Butt, HD, Latina, Mature'"", toxic:",1,[' true'],[837]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Jankauskas wrote, 'Sans HonkerA clown removes his nose to have a smoke on the sreets of Paris.europefrancejust another dayparispeopleFrom FranceSee AllBuy'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Jankauskas wrote, 'else you might end up giving to evil fuckwits like the Salvation Army or summat instead of people whose primary objective is actually to help	Well said._________________'"", toxic:",1,[' true'],[837]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Rivera wrote, 'you made your son actually work to earn a xbox game Fuck it. have an upvote  179,504 shares'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Rivera wrote, 'ERISA Update: Does Montanile entirely change the game? | SeminarWeb Programs and Materials | Texas Trial Lawyers Association'"", toxic:",0,[' false'],[905]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Harris wrote, 'Drive you fucking crazy and treat you like shit Call you ungrateful for not wanting to be near them  218 shares'"", toxic:",1,[' true'],[837],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Harris wrote, 'FALSE HOLY SPIRIT: A Sign Your Church is an End Times Church of the Dragon | End Times Prophecy Report'"", toxic:",0,[' false'],[905]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Mejía wrote, 'Background MD Lawmaker Asks Ravens Owner to Curb Brendon Ayanbadejo's Support for Equality [tlrd]Ravens Player Ayanbadejo Responds to Request That He STFU Ab'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Mejía wrote, 'Duration: 1min 01sec Views: 96 103 Submitted: 2 years ago  Description: Busty redhead babe riding cock fast and hard in bedroom. Her big boobies are bouncing up and down.'"", toxic:",1,[' true'],[837]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Robinson wrote, 'in all categories where the query is *	and	the has_no_known_copyright is true	and	the location is states	and	the depth is 100-500.	The results are sorted in descending order by width.'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Robinson wrote, 'Bryar 3.0 has a security hole which 3.1 fixes. Yeah yeah, I know, I said I'd abandoned this blog. But this is *important*, damnit!'"", toxic:",1,[' true'],[837]
""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Brown wrote, 'TGC - Book 5, Chapter 88 - Poking Around - WuxiaWorld Cloudhawk paused for a second. “I’m going to give it a shot.”'"", toxic:",0,[' false'],[905],""" John wrote, 'hi how are you'"", toxic: false
    "" John wrote, 'bitch you are shit'"", toxic: true
    "" Brown wrote, 'Toon bitches do it like porn pros  Porn Catwoman gets her yummy little ass popped next to insatiable cocksucker Meg Griffin and amateur BDSM from Futurama …'"", toxic:",1,[' true'],[837]
